baths,beds,contentLen,craigId,date,latitude,link,longitude,numPic,postDate,price,reposts,size,title,updateDate,zipcode
2.0,3,29,6850299902,Mar 25,47.61872,https://seattle.craigslist.org/see/apa/d/seattle-incredible-3-bedroom-2-bath/6850299902.html,-122.352838,10,"2019-03-25T14:13:40-0700,2019-03-25T14:13:40-0700",4954,0,1271,"Incredible 3 Bedroom, 2 Bath Penthouse Coming Up at Axis Apts!","2019-03-25T14:13:40-0700,2019-03-25T14:13:40-0700",
1.0,1,26,6850299895,Mar 25,47.619469,https://seattle.craigslist.org/see/apa/d/seattle-free-march-classic-vintage/6850299895.html,-122.308517,15,"2019-03-25T14:13:39-0700,2019-03-25T14:13:39-0700,2019-03-25T14:18:47-0700",1595,0,,"Free March! Classic Vintage, Hardwood, Granite, Close to Park, Shops","2019-03-25T14:13:39-0700,2019-03-25T14:13:39-0700,2019-03-25T14:18:47-0700",
1.0,1,42,6841338194,Mar 25,47.717067,https://seattle.craigslist.org/see/apa/d/seattle-april-free-rent-moving-in/6841338194.html,-122.29826,5,"2019-03-14T10:19:02-0700,2019-03-14T10:19:02-0700,2019-03-25T13:35:46-0700",1245,0,609,"April FREE rent moving in special! Washer/dryer IN the unit, balcony","2019-03-14T10:19:02-0700,2019-03-14T10:19:02-0700,2019-03-25T13:35:46-0700",
1.0,2,39,6850265761,Mar 25,47.61532,https://seattle.craigslist.org/see/apa/d/seattle-available-immediately-high/6850265761.html,-122.339637,22,"2019-03-25T13:36:24-0700,2019-03-25T13:36:24-0700",2850,0,843,"AVAILABLE IMMEDIATELY, HIGH SPEED INTERNET, ELECTRIC VEHICLE CHARGING!","2019-03-25T13:36:24-0700,2019-03-25T13:36:24-0700",
1.0,2,14,6850227494,Mar 25,47.574928,https://seattle.craigslist.org/see/apa/d/seattle-west-facing-2-bed-1-bath-in/6850227494.html,-122.386476,12,"2019-03-25T12:57:10-0700,2019-03-25T12:57:10-0700",2135,0,771,"West Facing 2 Bed, 1 Bath In Admiral 4/6","2019-03-25T12:57:10-0700,2019-03-25T12:57:10-0700",
1.0,1,52,6850227424,Mar 25,47.368488,https://seattle.craigslist.org/see/apa/d/kent-enjoy-quality-living/6850227424.html,-122.307096,19,"2019-03-25T12:57:06-0700,2019-03-25T12:57:06-0700",1500,0,750,Enjoy Quality Living,"2019-03-25T12:57:06-0700,2019-03-25T12:57:06-0700",
2.0,2,54,6850186152,Mar 25,47.629093,https://seattle.craigslist.org/see/apa/d/bainbridge-island-experience-island/6850186152.html,-122.518375,6,"2019-03-25T12:14:53-0700,2019-03-25T12:14:53-0700",2017,0,1150,"Experience Island Living, Serene location, Close to shops and ferry","2019-03-25T12:14:53-0700,2019-03-25T12:14:53-0700",
1.0,1,20,6850186038,Mar 25,47.623738,https://seattle.craigslist.org/see/apa/d/seattle-close-to-shopping-close-to/6850186038.html,-122.307136,6,"2019-03-25T12:14:48-0700,2019-03-25T12:14:48-0700",2520,0,792,"Close to Shopping, Close to Freeway, Washer/Dryer","2019-03-25T12:14:48-0700,2019-03-25T12:14:48-0700",
2.0,2,46,6850158910,Mar 25,47.61115,https://seattle.craigslist.org/see/apa/d/seattle-luxury-high-rise-apartments-2/6850158910.html,-122.340767,11,"2019-03-25T11:48:33-0700,2019-03-25T11:48:33-0700",3575,0,1100,Luxury High Rise Apartments 2 Bedroom 2 Bath,"2019-03-25T11:48:33-0700,2019-03-25T11:48:33-0700",
1.0,0,20,6848060062,Mar 25,47.67862,https://seattle.craigslist.org/see/apa/d/seattle-99-deposit-and-500-2nd-floor/6848060062.html,-122.319358,9,"2019-03-22T16:13:28-0700,2019-03-22T16:13:28-0700,2019-03-25T11:47:01-0700",1155,0,202,$99 Deposit and $500 2nd Floor corner unit large window and Murphy bed,"2019-03-22T16:13:28-0700,2019-03-22T16:13:28-0700,2019-03-25T11:47:01-0700",
