,Unnamed: 0,FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,PRIMARY_LAT_DMS,PRIM_LONG_DMS,PRIM_LAT_DEC,PRIM_LONG_DEC,SOURCE_LAT_DMS,SOURCE_LONG_DMS,SOURCE_LAT_DEC,SOURCE_LONG_DEC,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREATED,DATE_EDITED
53083,2000003,2403756,City of Greenwood,Civil,SC,45,Greenwood,47.0,341140N,0820915W,34.194418,-82.1543016,,,,,188.0,617.0,Greenwood,03/10/2008,07/14/2018
53084,2000004,2403757,City of Greenwood,Civil,MS,28,Leflore,83.0,333045N,0901157W,33.5125815,-90.1992664,,,,,39.0,128.0,Greenwood,03/10/2008,07/13/2018
53085,2000005,2403758,City of Greer,Civil,SC,45,Greenville,45.0,345606N,0821400W,34.934862,-82.23342070000002,,,,,297.0,974.0,Greer,03/10/2008,07/14/2018
53086,2000006,2403759,City of Greers Ferry,Civil,AR,5,Cleburne,23.0,353402N,0921008W,35.56725789999999,-92.1689091,,,,,165.0,541.0,Greers Ferry,03/10/2008,07/14/2018
53087,2000007,2403760,City of Grenada,Civil,MS,28,Grenada,43.0,334654N,0894847W,33.7815622,-89.8130547,,,,,62.0,203.0,Grenada,03/10/2008,07/13/2018
53088,2000008,2403761,City of Gretna,Civil,LA,22,Jefferson,51.0,295436N,0900306W,29.9100425,-90.0515735,,,,,0.0,0.0,New Orleans East,03/10/2008,07/14/2018
53089,2000009,2403762,City of Gretna,Civil,FL,12,Gadsden,39.0,303454N,0844117W,30.5817672,-84.68813349999998,,,,,80.0,262.0,Gretna,03/10/2008,07/14/2018
53090,2000010,2403763,City of Griffin,Civil,GA,13,Spalding,255.0,331431N,0841629W,33.2419078,-84.2746251,,,,,293.0,961.0,Griffin South,03/10/2008,07/14/2018
53091,2000011,2403764,City of Groveland,Civil,FL,12,Lake,69.0,283342N,0814931W,28.5617057,-81.82522349999998,,,,,36.0,118.0,Clermont West,03/10/2008,07/14/2018
53092,2000012,2403765,City of Grovetown,Civil,GA,13,Columbia,73.0,332701N,0821227W,33.4502665,-82.2074408,,,,,140.0,459.0,Grovetown,03/10/2008,07/14/2018
53093,2000013,2403766,City of Grubbs,Civil,AR,5,Jackson,67.0,353914N,0910432W,35.6539957,-91.0754573,,,,,70.0,230.0,Grubbs,03/10/2008,07/14/2018
53094,2000014,2403767,City of Gruetli-Laager,Civil,TN,47,Grundy,61.0,352221N,0853815W,35.3725679,-85.63740370000002,,,,,566.0,1857.0,Tracy City,03/10/2008,07/14/2018
53095,2000015,2403768,City of Guin,Civil,AL,1,Marion,93.0,335859N,0875406W,33.9829287,-87.9017967,,,,,169.0,554.0,Guin,03/10/2008,07/14/2018
53096,2000016,2403769,City of Gulf Breeze,Civil,FL,12,Santa Rosa,113.0,302207N,0871037W,30.3684756,-87.1768837,,,,,5.0,16.0,Gulf Breeze,03/10/2008,07/14/2018
53097,2000017,2403770,City of Gulf Shores,Civil,AL,1,Baldwin,3.0,301623N,0874227W,30.2729934,-87.70737790000003,,,,,2.0,7.0,Gulf Shores,03/10/2008,07/14/2018
53098,2000018,2403771,City of Gulfport,Civil,MS,28,Harrison,47.0,302516N,0890409W,30.421142,-89.0692047,,,,,2.0,7.0,Gulfport North,03/10/2008,07/13/2018
53099,2000019,2403772,City of Gulfport,Civil,FL,12,Pinellas,103.0,274447N,0824236W,27.7463075,-82.70989940000003,,,,,4.0,13.0,Pass-a-Grille Beach,03/10/2008,07/14/2018
53100,2000020,2403773,City of Gumbranch,Civil,GA,13,Liberty,179.0,315012N,0814102W,31.8368019,-81.6838807,,,,,23.0,75.0,Walthourville,03/10/2008,07/14/2018
53101,2000021,2403774,City of Guntersville,Civil,AL,1,Marshall,95.0,342203N,0861548W,34.36738560000001,-86.2634013,,,,,181.0,594.0,Guntersville,03/10/2008,07/13/2018
53102,2000022,2403775,City of Gurdon,Civil,AR,5,Clark,19.0,335456N,0930916W,33.9154537,-93.1544526,,,,,66.0,217.0,Gurdon,03/10/2008,07/14/2018
53103,2000023,2403776,City of Guthrie,Civil,KY,21,Todd,219.0,363854N,0871025W,36.6484229,-87.1736197,,,,,167.0,548.0,Guthrie,03/10/2008,07/14/2018
53104,2000024,2403777,City of Guyton,Civil,GA,13,Effingham,103.0,322009N,0812333W,32.3357528,-81.3926167,,,,,28.0,92.0,Guyton,03/10/2008,07/13/2018
