,Unnamed: 0,p_GEO.id2,p_GEO.display-label,p_HC01_VC03,state,abbr,region,result,url
2812,16606,3543370,"Los Lunas village, New Mexico",15258,New Mexico,NM,Los Lunas,"Los Lunas, NM",https://albuquerque.craigslist.org/?search_distance=10.2&postal=87031
347,16716,3563460,"Rio Rancho city, New Mexico",93317,New Mexico,NM,Rio Rancho,"Rio Rancho, NM",https://albuquerque.craigslist.org/?search_distance=15.4&postal=87144
31,16402,3502000,"Albuquerque city, New Mexico",556718,New Mexico,NM,Albuquerque,"Albuquerque, NM",https://albuquerque.craigslist.org/?search_distance=20.9&postal=87113
1602,21924,4221648,"Easton city, Pennsylvania",27045,Pennsylvania,PA,Easton,"Easton, PA",https://allentown.craigslist.org/?search_distance=11.3&postal=18043
3045,23204,4284512,"Whitehall borough, Pennsylvania",13828,Pennsylvania,PA,Whitehall borough,no result,https://allentown.craigslist.org/?search_distance=2.7&postal=18052
3596,21973,4223584,"Emmaus borough, Pennsylvania",11360,Pennsylvania,PA,Emmaus borough,no result,https://allentown.craigslist.org/?search_distance=3.6&postal=18049
2919,16220,3458350,"Phillipsburg town, New Jersey",14540,New Jersey,NJ,Phillipsburg,"Phillipsburg, NJ",https://allentown.craigslist.org/?search_distance=3.8&postal=08865
1754,22161,4233408,"Hazleton city, Pennsylvania",24882,Pennsylvania,PA,Hazleton,"Hazleton, PA",https://allentown.craigslist.org/?search_distance=5.7&postal=18202
232,21528,4202000,"Allentown city, Pennsylvania",120128,Pennsylvania,PA,Allentown,"Allentown, PA",https://allentown.craigslist.org/?search_distance=6.7&postal=18103
473,21628,4206088,"Bethlehem city, Pennsylvania",75240,Pennsylvania,PA,Bethlehem,"Bethlehem, PA",https://allentown.craigslist.org/?search_distance=8.1&postal=18015
3071,22221,4236816,"Indiana borough, Pennsylvania",13690,Pennsylvania,PA,Indiana borough,no result,https://altoona.craigslist.org/?search_distance=6.3&postal=15701
922,21536,4202184,"Altoona city, Pennsylvania",44749,Pennsylvania,PA,Altoona,"Altoona, PA",https://altoona.craigslist.org/?search_distance=8.3&postal=16601
2204,22255,4238288,"Johnstown city, Pennsylvania",19967,Pennsylvania,PA,Johnstown,"Johnstown, PA",https://altoona.craigslist.org/?search_distance=9.2&postal=15906
2852,25166,4833320,"Hereford city, Texas",15003,Texas,TX,Hereford,"Hereford, TX",https://amarillo.craigslist.org/?search_distance=14.2&postal=79045
3249,24675,4809556,"Borger city, Texas",12919,Texas,TX,Borger,"Borger, TX",https://amarillo.craigslist.org/?search_distance=14.5&postal=79007
2888,24930,4821556,"Dumas city, Texas",14775,Texas,TX,Dumas,"Dumas, TX",https://amarillo.craigslist.org/?search_distance=15.6&postal=79029
2418,25699,4854912,"Pampa city, Texas",18034,Texas,TX,Pampa,"Pampa, TX",https://amarillo.craigslist.org/?search_distance=22&postal=79065
120,24554,4803000,"Amarillo city, Texas",197823,Texas,TX,Amarillo,"Amarillo, TX",https://amarillo.craigslist.org/?search_distance=29.3&postal=79117
583,8125,1901855,"Ames city, Iowa",65005,Iowa,IA,Ames,"Ames, IA",https://ames.craigslist.org/?search_distance=13.6&postal=50012
1580,8673,1949755,"Marshalltown city, Iowa",27440,Iowa,IA,Marshalltown,"Marshalltown, IA",https://ames.craigslist.org/?search_distance=7&postal=50158
3316,8200,1907480,"Boone city, Iowa",12538,Iowa,IA,Boone,"Boone, IA",https://ames.craigslist.org/?search_distance=9.4&postal=50036
65,598,203000,"Anchorage municipality, Alaska",298225,Alaska,AK,Anchorage,"Anchorage, AK",https://anchorage.craigslist.org/?search_distance=38.5&postal=99507
1901,10938,2402275,"Arnold CDP, Maryland",23041,Maryland,MD,Arnold,"Arnold, MD",https://annapolis.craigslist.org/?search_distance=3.1&postal=21012
1524,11049,2420875,"Crofton CDP, Maryland",28282,Maryland,MD,Crofton,"Crofton, MD",https://annapolis.craigslist.org/?search_distance=3.1&postal=21114
1026,11286,2458300,"Odenton CDP, Maryland",40479,Maryland,MD,Odenton,"Odenton, MD",https://annapolis.craigslist.org/?search_distance=3.3&postal=21113
1082,11365,2471200,"Severna Park CDP, Maryland",38725,Maryland,MD,Severna Park,"Severna Park, MD",https://annapolis.craigslist.org/?search_distance=3.3&postal=21146
1575,11298,2460475,"Pasadena CDP, Maryland",27484,Maryland,MD,Pasadena,"Pasadena, MD",https://annapolis.craigslist.org/?search_distance=4.5&postal=21122
541,11142,2432650,"Glen Burnie CDP, Maryland",68768,Maryland,MD,Glen Burnie,"Glen Burnie, MD",https://annapolis.craigslist.org/?search_distance=7.2&postal=21061
1071,10932,2401600,"Annapolis city, Maryland",39151,Maryland,MD,Annapolis,"Annapolis, MD",https://annapolis.craigslist.org/?search_distance=7.3&postal=21403
690,10972,2408775,"Bowie city, Maryland",58290,Maryland,MD,Bowie,"Bowie, MD",https://annapolis.craigslist.org/?search_distance=8.3&postal=20720
235,11706,2603000,"Ann Arbor city, Michigan",119303,Michigan,MI,Ann Arbor,"Ann Arbor, MI",https://annarbor.craigslist.org/?search_distance=10.5&postal=48103
2536,12347,2684940,"Wayne city, Michigan",17090,Michigan,MI,Wayne,"Wayne, MI",https://annarbor.craigslist.org/?search_distance=3.3&postal=48184
3057,12365,2688140,"Wixom city, Michigan",13777,Michigan,MI,Wixom,"Wixom, MI",https://annarbor.craigslist.org/?search_distance=3.8&postal=48393
1873,12238,2669420,"Romulus city, Michigan",23479,Michigan,MI,Romulus,"Romulus, MI",https://annarbor.craigslist.org/?search_distance=3.9&postal=48174
679,12158,2659440,"Novi city, Michigan",58835,Michigan,MI,Novi,"Novi, MI",https://annarbor.craigslist.org/?search_distance=5&postal=48376
3512,12281,2675100,"South Lyon city, Michigan",11695,Michigan,MI,South Lyon,"South Lyon, MI",https://annarbor.craigslist.org/?search_distance=6&postal=48178
2099,12375,2689140,"Ypsilanti city, Michigan",20804,Michigan,MI,Ypsilanti,"Ypsilanti, MI",https://annarbor.craigslist.org/?search_distance=6.8&postal=48198
964,28577,5526275,"Fond du Lac city, Wisconsin",42910,Wisconsin,WI,Fond du Lac,no match,https://appleton.craigslist.org/?search_distance=10.9&postal=54935
