,Unnamed: 0,p_GEO.id2,p_GEO.display-label,p_HC01_VC03,county_fips
106,2814,648354,"Modesto city, California",210166,[34025]
107,3150,669088,"Santa Clarita city, California",209489,[35017]
108,17734,3663000,"Rochester city, New York",209463,[39063]
109,27855,5370000,"Tacoma city, Washington",207280,[56037]
110,2405,624680,"Fontana city, California",207086,[35059]
111,2932,654652,"Oxnard city, California",206732,[34035]
112,2839,649270,"Moreno Valley city, California",203691,[35013]
113,18025,3684000,"Yonkers city, New York",200999,[39017]
114,6110,1703012,"Aurora city, Illinois",200946,[26163]
115,354,151000,"Montgomery city, Alabama",200761,[29207]
116,2543,636000,"Huntington Beach city, California",200415,[34023]
117,2454,630000,"Glendale city, California",199750,[35011]
118,5177,1319000,"Columbus city, Georgia",198647,[25017]
119,19178,3901000,"Akron city, Ohio",198252,[18089]
120,24554,4803000,"Amarillo city, Texas",197823,[47065]
121,1681,541000,"Little Rock city, Arkansas",197780,[29031]
122,5081,1304204,"Augusta-Richmond County consolidated government (balance), Georgia",196899,[26083]
123,10717,2270000,"Shreveport city, Louisiana",196217,[42097]
124,15727,3268585,"Spring Valley CDP, Nevada",195646,[34005]
125,11945,2634000,"Grand Rapids city, Michigan",195355,[10005]
126,26519,4967000,"Salt Lake City city, Utah",194188,[17055]
127,15731,3271400,"Sunrise Manor CDP, Nevada",193854,[34005]
128,351,150000,"Mobile city, Alabama",192085,[29201]
129,271,137000,"Huntsville city, Alabama",190501,[29149]
130,25103,4830464,"Grand Prairie city, Texas",188664,[42133]
131,4918,1270600,"Tallahassee city, Florida",188463,[51059]
132,9585,2053775,"Overland Park city, Kansas",186147,[8045]
133,11685,2582000,"Worcester city, Massachusetts",184743,[18109]
134,24298,4740000,"Knoxville city, Tennessee",184465,[40023]
135,24703,4810768,"Brownsville city, Texas",182083,[42129]
136,27108,5156000,"Newport News city, Virginia",180775,[55063]
137,23293,4459000,"Providence city, Rhode Island",179509,[8071]
138,4802,1258715,"Port St. Lucie city, Florida",178778,[51097]
139,1314,473000,"Tempe city, Arizona",178339,[20035]
140,4371,1224000,"Fort Lauderdale city, Florida",177175,[49005]
141,24157,4714000,"Chattanooga city, Tennessee",176291,[40063]
142,2445,629000,"Garden Grove city, California",174812,[34037]
143,2912,653322,"Oceanside city, California",174811,[34037]
144,3034,659451,"Rancho Cucamonga city, California",174573,[35003]
145,3158,670098,"Santa Rosa city, California",174244,[35051]
146,4235,1210275,"Cape Coral city, Florida",173679,[49049]
147,27887,5374060,"Vancouver city, Washington",171393,[55135]
148,2920,653896,"Ontario city, California",171041,[36009]
149,24017,4659020,"Sioux Falls city, South Dakota",170401,[1073]
150,13437,2836000,"Jackson city, Mississippi",170393,[6017]
151,4763,1255775,"Pembroke Pines city, Florida",166530,[51107]
152,2354,622020,"Elk Grove city, California",166228,[36001]
153,14534,2970000,"Springfield city, Missouri",165785,[15007]
154,25481,4845744,"McKinney city, Texas",164760,[47159]
155,21420,4164900,"Salem city, Oregon",163654,[1121]
156,2230,616350,"Corona city, California",163585,[36037]
157,21231,4123850,"Eugene city, Oregon",163135,[1107]
158,1205,454050,"Peoria city, Arizona",161383,[20045]
159,2652,640130,"Lancaster city, California",160113,[35045]
160,18139,3710740,"Cary town, North Carolina",159715,[42021]
161,3603,827425,"Fort Collins city, Colorado",159150,[31003]
162,2940,655156,"Palmdale city, California",157358,[35051]
163,2509,633000,"Hayward city, California",156917,[34019]
164,3104,664224,"Salinas city, California",156811,[36059]
165,15648,3223770,"Enterprise CDP, Nevada",155773,[34007]
166,25051,4827684,"Frisco city, Texas",155363,[48127]
167,26720,5101000,"Alexandria city, Virginia",154710,[55039]
168,11642,2567000,"Springfield city, Massachusetts",154613,[18105]
169,25706,4856000,"Pasadena city, Texas",153909,[48121]
170,5399,1349008,"Macon-Bibb County, Georgia",153621,[25017]
171,3008,658072,"Pomona city, California",152366,[36063]
172,3263,677000,"Sunnyvale city, California",151565,[36025]
173,3694,843000,"Lakewood city, Colorado",151411,[31121]
174,9416,2036000,"Kansas City city, Kansas",151042,[6087]
175,2373,622804,"Escondido city, California",150783,[35027]
176,4465,1232000,"Hollywood city, Florida",149750,[51015]
177,7112,1765000,"Rockford city, Illinois",148640,[26163]
178,6665,1738570,"Joliet city, Illinois",148172,[27137]
179,16210,3457000,"Paterson city, New Jersey",147890,[48373]
180,24163,4715160,"Clarksville city, Tennessee",147771,[40031]
181,3917,908000,"Bridgeport city, Connecticut",147586,[19149]
182,3309,680000,"Torrance city, California",147190,[36003]
183,6904,1751622,"Naperville city, Illinois",146431,[27159]
184,5551,1369000,"Savannah city, Georgia",145094,[26081]
185,10603,2250115,"Metairie CDP, Louisiana",144822,[42125]
186,17875,3673000,"Syracuse city, New York",144405,[39155]
187,25530,4847892,"Mesquite city, Texas",144118,[47065]
188,2957,656000,"Pasadena city, California",141231,[36035]
189,19441,3921000,"Dayton city, Ohio",140939,[17085]
190,25284,4839148,"Killeen city, Texas",140513,[42129]
191,2922,653980,"Orange city, California",140289,[36027]
192,2437,628000,"Fullerton city, California",139976,[36045]
193,25476,4845384,"McAllen city, Texas",139838,[48055]
194,27348,5305210,"Bellevue city, Washington",139014,[56017]
195,4650,1245975,"Miramar city, Florida",136415,[51031]
196,26959,5135000,"Hampton city, Virginia",136255,[55045]
197,26584,4983470,"West Valley City city, Utah",135546,[17075]
198,12342,2684000,"Warren city, Michigan",135147,[8105]
199,9570,2052575,"Olathe city, Kansas",134368,[6073]
200,3865,877290,"Thornton city, Colorado",132310,[31133]
201,23373,4516000,"Columbia city, South Carolina",132236,[5129]
202,12295,2676460,"Sterling Heights city, Michigan",131996,[9001]
203,26174,4876000,"Waco city, Texas",131996,[48127]
204,25534,4848072,"Midland city, Texas",131286,[45091]
205,24759,4813024,"Carrollton city, Texas",131240,[47165]
206,23358,4513330,"Charleston city, South Carolina",131204,[5093]
207,24902,4819972,"Denton city, Texas",131097,[46109]
208,3978,952000,"New Haven city, Connecticut",130884,[19133]
209,3090,662938,"Roseville city, California",130705,[36019]
210,8245,1912000,"Cedar Rapids city, Iowa",130330,[21219]
211,4278,1214400,"Coral Springs city, Florida",130110,[48499]
212,3363,682954,"Visalia city, California",130047,[34027]
213,1305,471510,"Surprise city, Arizona",129534,[20053]
214,4391,1225175,"Gainesville city, Florida",129394,[49023]
215,15982,3421000,"Elizabeth city, New Jersey",129363,[48357]
216,3295,678582,"Thousand Oaks city, California",128909,[34033]
217,4023,973000,"Stamford city, Connecticut",128851,[19133]
218,2224,616000,"Concord city, California",128160,[36003]
219,9711,2071000,"Topeka city, Kansas",127139,[6107]
220,27571,5335415,"Kent city, Washington",126561,[72017]
221,3202,672016,"Simi Valley city, California",126546,[35045]
222,10553,2240735,"Lafayette city, Louisiana",126476,[42091]
223,24364,4751560,"Murfreesboro city, Tennessee",126188,[39175]
224,3149,669084,"Santa Clara city, California",124635,[34025]
225,3955,937000,"Hartford city, Connecticut",124390,[19137]
226,2324,620802,"East Los Angeles CDP, California",123905,[35021]
227,24524,4801000,"Abilene city, Texas",122762,[45023]
228,5077,1303440,"Athens-Clarke County unified government (balance), Georgia",122292,[26005]
229,3356,682590,"Victorville city, California",121721,[36045]
230,3341,681666,"Vallejo city, California",120599,[36059]
231,2034,606000,"Berkeley city, California",120179,[35007]
232,21528,4202000,"Allentown city, Pennsylvania",120128,[36105]
233,20862,4052500,"Norman city, Oklahoma",119820,[20163]
234,7601,1822000,"Evansville city, Indiana",119806,[24017]
235,11706,2603000,"Ann Arbor city, Michigan",119303,[10001]
236,13850,2915670,"Columbia city, Missouri",118620,[17021]
237,24625,4807000,"Beaumont city, Texas",118424,[46135]
238,18890,3825700,"Fargo city, North Dakota",118099,[41043]
239,14109,2935000,"Independence city, Missouri",117369,[15003]
240,4581,1239925,"Lehigh Acres CDP, Florida",116849,[48505]
241,25888,4863500,"Round Rock city, Texas",116369,[46047]
242,7224,1772000,"Springfield city, Illinois",116313,[27091]
243,26501,4962470,"Provo city, Utah",116199,[17031]
244,2357,622230,"El Monte city, California",115958,[36063]
245,25658,4853388,"Odessa city, Texas",115930,[46077]
246,7027,1759000,"Peoria city, Illinois",115424,[27157]
247,3469,803455,"Arvada city, Colorado",115320,[31053]
248,18753,3774440,"Wilmington city, North Carolina",115261,[42007]
249,12044,2646000,"Lansing city, Michigan",115222,[9005]
250,25711,4856348,"Pearland city, Texas",113693,[42129]
251,2308,619766,"Downey city, California",113358,[36055]
252,4637,1245060,"Miami Gardens city, Florida",113187,[51001]
253,2140,611194,"Carlsbad city, California",113147,[34035]
254,4209,1208150,"Brandon CDP, Florida",113124,[49021]
255,2235,616532,"Costa Mesa city, California",112930,[36019]
256,4262,1212875,"Clearwater city, Florida",112794,[51093]
257,2381,623182,"Fairfield city, California",112790,[36029]
258,13068,2754880,"Rochester city, Minnesota",112683,[12127]
259,6420,1723074,"Elgin city, Illinois",112628,[27167]
260,26581,4982950,"West Jordan city, Utah",111937,[17065]
261,3894,883835,"Westminster city, Colorado",111895,[31079]
262,25843,4861796,"Richardson city, Texas",111055,[44007]
263,2559,636546,"Inglewood city, California",111006,[34025]
264,11540,2537000,"Lowell city, Massachusetts",110964,[18105]
265,11472,2511000,"Cambridge city, Massachusetts",110893,[18129]
266,3283,678120,"Temecula city, California",110722,[36045]
267,15805,3345140,"Manchester city, New Hampshire",110601,[48427]
268,21262,4131250,"Gresham city, Oregon",110336,[1117]
269,3115,665042,"San Buenaventura (Ventura) city, California",110153,[]
270,2860,650076,"Murrieta city, California",110043,[35055]
271,1971,602252,"Antioch city, California",110026,[36003]
272,18333,3731400,"High Point city, North Carolina",109849,[42011]
273,26093,4872656,"The Woodlands CDP, Texas",109608,[47005]
274,4036,980000,"Waterbury city, Connecticut",109250,[19155]
275,3795,862000,"Pueblo city, Colorado",109122,[31019]
276,14708,3006550,"Billings city, Montana",109082,[6063]
277,3057,660620,"Richmond city, California",108853,[35039]
278,3521,812815,"Centennial city, Colorado",108448,[31099]
279,23549,4550875,"North Charleston city, South Carolina",108186,[5077]
280,4734,1254000,"Palm Bay city, Florida",107802,[51031]
281,3391,684200,"West Covina city, California",107786,[35051]
282,27488,5322640,"Everett city, Washington",107560,[55133]
283,4793,1258050,"Pompano Beach city, Florida",107542,[49053]
284,24819,4815976,"College Station city, Texas",107445,[42133]
285,5005,1276600,"West Palm Beach city, Florida",106805,[51041]
286,2263,617918,"Daly City city, California",106480,[35057]
287,2895,652526,"Norwalk city, California",106404,[36009]
288,3495,807850,"Boulder city, Colorado",106271,[30111]
289,20466,4009050,"Broken Arrow city, Oklahoma",106264,[21133]
290,3651,836410,"Highlands Ranch CDP, Colorado",105264,[30095]
291,28620,5531000,"Green Bay city, Wisconsin",104796,[53053]
292,3154,669196,"Santa Maria city, California",104791,[36027]
293,2096,608954,"Burbank city, California",104765,[36059]
294,4899,1268350,"Spring Hill CDP, Florida",104722,[51061]
295,26228,4879000,"Wichita Falls city, Texas",104621,[48065]
296,2202,614218,"Clovis city, California",104411,[34035]
297,4548,1238250,"Lakeland city, Florida",104165,[51133]
298,5545,1368516,"Sandy Springs city, Georgia",103703,[26033]
299,25399,4842508,"Lewisville city, Texas",103638,[48067]
300,3139,668252,"San Mateo city, California",103500,[34037]
301,2345,621712,"El Cajon city, California",103314,[35055]
302,11041,2419125,"Columbia CDP, Maryland",103170,[19101]
303,3054,660466,"Rialto city, California",102708,[35053]
304,26138,4874144,"Tyler city, Texas",102561,[46023]
305,21275,4134100,"Hillsboro city, Oregon",102396,[1097]
306,8323,1919000,"Davenport city, Iowa",102268,[23005]
307,2583,637692,"Jurupa Valley city, California",102202,[]
308,7991,1871000,"South Bend city, Indiana",101928,[24041]
309,4302,1216475,"Davie town, Florida",101543,[49013]
310,16588,3539380,"Las Cruces city, New Mexico",101014,[48147]
311,3636,832155,"Greeley city, Colorado",100760,[30105]
312,27774,5357745,"Renton city, Washington",99692,[72151]
313,28688,5539225,"Kenosha city, Wisconsin",99623,[54053]
314,27173,5168000,"Roanoke city, Virginia",99572,[55043]
315,3364,682996,"Vista city, California",99496,[36029]
316,25911,4864472,"San Angelo city, Texas",99135,[48049]
317,21982,4224000,"Erie city, Pennsylvania",98970,[37155]
318,1979,602553,"Arden-Arcade CDP, California",98616,[]
319,16844,3601000,"Albany city, New York",98498,[39071]
320,25388,4841980,"League City city, Texas",98215,[44009]
321,2223,615044,"Compton city, California",97847,[35035]
322,11910,2629000,"Flint city, Michigan",97810,[8113]
323,536,177256,"Tuscaloosa city, Alabama",97373,[29213]
324,3338,681554,"Vacaville city, California",96918,[35047]
325,24543,4801924,"Allen city, Texas",96865,[47093]
326,15725,3268400,"Sparks city, Nevada",96786,[34007]
327,2812,648256,"Mission Viejo city, California",96535,[36029]
328,21157,4105350,"Beaverton city, Oregon",95710,[1117]
329,27148,5164000,"Portsmouth city, Virginia",95536,[55063]
330,3221,673080,"South Gate city, California",95420,[35061]
331,11851,2621000,"Dearborn city, Michigan",95295,[8113]
332,14191,2941348,"Lee's Summit city, Missouri",95270,[13223]
333,20764,4041850,"Lawton city, Oklahoma",95168,[21071]
334,11467,2509000,"Brockton city, Massachusetts",95161,[18135]
335,11570,2545000,"New Bedford city, Massachusetts",95125,[18117]
336,27496,5323515,"Federal Way city, Washington",94905,[72101]
337,12063,2649000,"Livonia city, Michigan",94708,[9015]
338,26521,4967440,"Sandy city, Utah",94556,[]
339,27833,5367167,"Spokane Valley city, Washington",94424,[56017]
340,26482,4957300,"Orem city, Utah",94420,[17075]
341,5536,1367284,"Roswell city, Georgia",94239,[25001]
342,4199,1207300,"Boca Raton city, Florida",93964,[49003]
343,9445,2038900,"Lawrence city, Kansas",93954,[6073]
344,1389,485540,"Yuma city, Arizona",93851,[20079]
345,11608,2555745,"Quincy city, Massachusetts",93824,[18155]
346,3136,668196,"San Marcos city, California",93493,[36035]
347,16716,3563460,"Rio Rancho city, New Mexico",93317,[48199]
348,2517,633434,"Hesperia city, California",93190,[36059]
349,27931,5380010,"Yakima city, Washington",93182,[72113]
350,11542,2537490,"Lynn city, Massachusetts",93069,[18099]
351,2148,611530,"Carson city, California",92927,[36029]
352,3155,670000,"Santa Monica city, California",92495,[35041]
353,4913,1269700,"Sunrise city, Florida",92272,[50027]
354,4636,1245025,"Miami Beach city, Florida",92187,[51027]
355,4784,1257425,"Plantation city, Florida",92126,[49043]
356,5954,1652120,"Meridian city, Idaho",91917,[19159]
357,3398,684550,"Westminster city, California",91785,[34029]
358,3714,845970,"Longmont city, Colorado",91730,[31007]
359,11137,2432025,"Germantown CDP, Maryland",91447,[19031]
360,3148,669070,"Santa Barbara city, California",91443,[36027]
361,3046,659920,"Redding city, California",91236,[36063]
362,1263,464210,"San Tan Valley CDP, Arizona",90665,[20057]
363,2179,613014,"Chico city, California",90660,[34037]
364,18303,3728080,"Greenville city, North Carolina",90347,[42011]
365,3132,668084,"San Leandro city, California",89910,[34027]
366,20599,4023200,"Edmond city, Oklahoma",89769,[21111]
367,5969,1656260,"Nampa city, Idaho",89576,[20029]
368,18048,3702140,"Asheville city, North Carolina",89318,[42011]
369,11500,2523000,"Fall River city, Massachusetts",89258,[18097]
370,16332,3473110,"Toms River CDP, New Jersey",88707,[48361]
371,7506,1810342,"Carmel city, Indiana",88595,[24031]
372,3991,955990,"Norwalk city, Connecticut",88537,[19147]
373,11573,2545560,"Newton city, Massachusetts",88479,[18143]
374,22782,4263624,"Reading city, Pennsylvania",88275,[37045]
375,2700,641992,"Livermore city, California",88232,[36019]
376,4825,1260950,"Riverview CDP, Florida",88191,[49021]
377,27238,5176432,"Suffolk city, Virginia",88057,[55077]
378,4133,1200410,"Alafaya CDP, Florida",88025,[51125]
379,4313,1217200,"Deltona city, Florida",88005,[49045]
380,7350,1779293,"Waukegan city, Illinois",87999,[27055]
381,15813,3350260,"Nashua city, New Hampshire",87642,[48409]
382,3310,680238,"Tracy city, California",87613,[36029]
383,18173,3714100,"Concord city, North Carolina",87607,[42033]
384,7609,1823278,"Fishers city, Indiana",87557,[24021]
385,1557,524550,"Fort Smith city, Arkansas",87537,[28103]
386,2507,632548,"Hawthorne city, California",87425,[35031]
387,21159,4105800,"Bend city, Oregon",87167,[2013]
388,26054,4870808,"Sugar Land city, Texas",86886,[47081]
389,2556,636448,"Indio city, California",86867,[36059]
390,3414,685292,"Whittier city, California",86852,[36051]
391,2788,646842,"Menifee city, California",86820,[35033]
392,2874,651182,"Newport Beach city, California",86793,[35001]
393,27577,5335940,"Kirkland city, Washington",86772,[72017]
394,2189,613588,"Citrus Heights city, California",86618,[34041]
395,15945,3413690,"Clifton city, New Jersey",86207,[48233]
396,24948,4822660,"Edinburg city, Texas",86123,[46099]
397,12595,2717000,"Duluth city, Minnesota",86066,[12069]
398,6266,1712385,"Champaign city, Illinois",85710,[27043]
399,2183,613210,"Chino city, California",85609,[34029]
400,26477,4955980,"Ogden city, Utah",85497,[17045]
401,12460,2706616,"Bloomington city, Minnesota",85417,[12086]
402,27350,5305280,"Bellingham city, Washington",85388,[56013]
403,14346,2954074,"O'Fallon city, Missouri",85246,[13129]
404,1945,600884,"Alhambra city, California",85168,[35027]
405,16334,3474000,"Trenton city, New Jersey",84867,[48333]
406,3934,918430,"Danbury city, Connecticut",84573,[19145]
407,3050,660102,"Redwood City city, California",84368,[35029]
408,267,135896,"Hoover city, Alabama",84150,[30007]
409,4944,1272145,"Town 'n' Country CDP, Florida",83879,[51041]
410,6288,1714351,"Cicero town, Illinois",83735,[28029]
411,7466,1805860,"Bloomington city, Indiana",83636,[24003]
412,2512,633182,"Hemet city, California",83604,[35013]
413,5351,1342425,"Johns Creek city, Georgia",83397,[26109]
414,12316,2680700,"Troy city, Michigan",83336,[8107]
415,25555,4848768,"Mission city, Texas",83042,[48021]
416,2094,608786,"Buena Park city, California",83020,[36057]
417,16755,3570500,"Santa Fe city, New Mexico",82980,[48167]
418,8948,1973335,"Sioux City city, Iowa",82568,[21195]
419,4568,1239425,"Largo city, Florida",82433,[51059]
420,4739,1254200,"Palm Coast city, Florida",82356,[51041]
421,25434,4843888,"Longview city, Texas",82219,[47133]
422,12354,2686000,"Westland city, Michigan",82172,[12011]
423,2791,646898,"Merced city, California",82008,[35055]
424,1549,523290,"Fayetteville city, Arkansas",81889,[28155]
425,2630,639496,"Lake Forest city, California",81812,[34021]
426,24709,4810912,"Bryan city, Texas",81743,[45089]
427,960,404720,"Avondale city, Arizona",81590,[20107]
428,11901,2627440,"Farmington Hills city, Michigan",81235,[8077]
429,23298,4474300,"Warwick city, Rhode Island",81218,[8071]
430,2647,639892,"Lakewood city, California",81106,[36059]
431,23275,4419180,"Cranston city, Rhode Island",80979,[8071]
432,23532,4548535,"Mount Pleasant town, South Carolina",80661,[5119]
433,2852,649670,"Mountain View city, California",80076,[34035]
434,3325,680854,"Tustin city, California",80007,[35017]
435,26516,4965330,"St. George city, Utah",79995,[17045]
436,11631,2562535,"Somerville city, Massachusetts",79983,[18127]
437,17546,3650617,"New Rochelle city, New York",79877,[39125]
438,20014,3961000,"Parma city, Ohio",79871,[18039]
439,2864,650258,"Napa city, California",79722,[35006]
440,4629,1243975,"Melbourne city, Florida",79640,[48493]
441,11533,2534550,"Lawrence city, Massachusetts",79497,[18121]
