,Unnamed: 0,baths,bedrooms,contentLen,pid,date2,latitude,link,longitude,numPic,date,rent,reposts,sqft,title,updateDate,zipcode,state2,region2
139,139,2.0,2.0,10,6825535944,Mar 24,26.602392,https://fortmyers.craigslist.org/lee/apa/d/fort-myers-come-and-tour/6825535944.html,-81.831561,14,"2019-02-22T12:05:26-0500,2019-02-22T12:05:26-0500,2019-03-24T00:32:14-0400",1245.0,0,1099.0,Come and Tour!,"2019-02-22T12:05:26-0500,2019-02-22T12:05:26-0500,2019-03-24T00:32:14-0400",,Florida,Fort Myers
140,140,1.0,1.0,14,6847622231,Mar 26,38.890261,https://washingtondc.craigslist.org/doc/apa/d/washington-charming-tiny-house-hideaway/6847622231.html,-77.001307,13,"2019-03-22T11:50:29-0400,2019-03-22T11:50:29-0400,2019-03-26T09:13:03-0400",4250.0,0,700.0,"Charming Tiny House Hideaway |Pets Ok 3Blks to Capitol, Avail. Apr 18!","2019-03-22T11:50:29-0400,2019-03-22T11:50:29-0400,2019-03-26T09:13:03-0400",,D.C.,Washington
143,143,1.0,1.0,2,6850143054,Mar 25,37.799493,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-cow-hollow-apartment-for/6850143054.html,-122.43619,4,"2019-03-25T11:33:13-0700,2019-03-25T11:33:13-0700",3200.0,0,415.0,Cow Hollow Apartment for Lease,"2019-03-25T11:33:13-0700,2019-03-25T11:33:13-0700",,California,SF
145,145,1.0,0.0,31,6850871589,Mar 26,33.832387,https://atlanta.craigslist.org/atl/apa/d/atlanta-all-utilities-included-call/6850871589.html,-84.381545,9,"2019-03-26T12:50:32-0400,2019-03-26T12:50:32-0400",1150.0,0,450.0,All Utilities included call Nermina at Buckhead Townhomes & Gardens,"2019-03-26T12:50:32-0400,2019-03-26T12:50:32-0400",,Georgia,Atlanta
146,146,1.0,1.0,28,6840913563,Mar 25,34.01341,https://losangeles.craigslist.org/wst/apa/d/santa-monica-video-tour-charming-upper/6840913563.html,-118.473012,21,"2019-03-13T18:00:05-0700,2019-03-13T18:00:05-0700,2019-03-25T14:00:14-0700",2195.0,0,650.0,"VIDEO TOUR! CHARMING UPPER 1+1, REAL HARDWOOD, PARKING, Laundry 8001","2019-03-13T18:00:05-0700,2019-03-13T18:00:05-0700,2019-03-25T14:00:14-0700",,California,Santa Monica
147,147,1.0,1.0,24,6847625792,Mar 26,38.890883,https://washingtondc.craigslist.org/doc/apa/d/washington-6th-3-beautiful-1-bd-room-5/6847625792.html,-76.998217,9,"2019-03-22T11:53:38-0400,2019-03-22T11:53:38-0400,2019-03-26T09:13:00-0400",4250.0,0,700.0,(6th & A #3) Beautiful 1 Bd Room 5 Blocks From Capitol - Avail April24,"2019-03-22T11:53:38-0400,2019-03-22T11:53:38-0400,2019-03-26T09:13:00-0400",,D.C.,Washington
148,148,1.0,0.0,35,6838792304,Mar 25,37.786869,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-newly-remodeled-studio/6838792304.html,-122.419607,10,"2019-03-11T09:51:24-0700,2019-03-11T09:51:24-0700,2019-03-25T11:32:09-0700",2095.0,0,,Newly Remodeled Studio Apartment in Lower Nob Hill; Pet Friendly,"2019-03-11T09:51:24-0700,2019-03-11T09:51:24-0700,2019-03-25T11:32:09-0700",,California,SF
149,149,1.5,2.0,55,6850253937,Mar 25,33.983482,https://losangeles.craigslist.org/wst/apa/d/venice-215-in-marina-del-rey-with/6850253937.html,-118.460201,9,"2019-03-25T13:24:01-0700,2019-03-25T13:24:01-0700",3995.0,0,1150.0,2+1.5 in Marina Del Rey with Hardwood Floors + Washer/Dryer in Unit,"2019-03-25T13:24:01-0700,2019-03-25T13:24:01-0700",,California,LA
150,150,2.0,2.0,19,6850871245,Mar 26,33.836372,https://atlanta.craigslist.org/atl/apa/d/atlanta-move-in-specials-in-lenox-park/6850871245.html,-84.341526,4,"2019-03-26T12:50:13-0400,2019-03-26T12:50:13-0400",1499.0,0,1000.0,Move In Specials In Lenox Park!,"2019-03-26T12:50:13-0400,2019-03-26T12:50:13-0400",,Georgia,Brookhaven
151,151,1.0,0.0,46,6850227674,Mar 25,32.71234,https://sandiego.craigslist.org/csd/apa/d/san-diego-platform-loft-available/6850227674.html,-117.158328,5,"2019-03-25T12:57:21-0700,2019-03-25T12:57:21-0700",1886.0,0,610.0,Platform Loft Available - Downtown Living!,"2019-03-25T12:57:21-0700,2019-03-25T12:57:21-0700",,California,San Diego
152,152,2.0,1.0,25,6850227855,Mar 25,32.710446,https://sandiego.craigslist.org/csd/apa/d/san-diego-1-bedroom-2-bathroom-condo-in/6850227855.html,-117.155096,16,"2019-03-25T12:57:31-0700,2019-03-25T12:57:31-0700",2795.0,0,1051.0,1-Bedroom/2-Bathroom Condo in Downtown San Diego-Island Ave. #512,"2019-03-25T12:57:31-0700,2019-03-25T12:57:31-0700",,California,San Diego
153,153,1.0,1.0,4,6850748896,Mar 26,25.75312,https://miami.craigslist.org/mdc/apa/d/miami-bungalow-duplex-apartment/6850748896.html,-80.219357,10,"2019-03-26T10:52:05-0400,2019-03-26T10:52:05-0400,2019-03-26T12:22:09-0400",1300.0,0,500.0,Bungalow Duplex Apartment,"2019-03-26T10:52:05-0400,2019-03-26T10:52:05-0400,2019-03-26T12:22:09-0400",,Florida,Miami
154,154,2.0,2.0,26,6846294903,Mar 20,33.49292,https://phoenix.craigslist.org/cph/apa/d/phoenix-balconies-and-patios-lease/6846294903.html,-112.079434,15,"2019-03-20T14:08:23-0700,2019-03-20T14:08:23-0700",1390.0,0,1042.0,"Balconies and Patios , Lease Today, Comfort and Convenience","2019-03-20T14:08:23-0700,2019-03-20T14:08:23-0700",,Arizona,Phoenix
156,156,1.0,1.0,7,6836202966,Mar 20,33.505012,https://phoenix.craigslist.org/cph/apa/d/phoenix-studio-apt-for-rent-elevation/6836202966.html,-112.074473,0,"2019-03-07T21:15:38-0700,2019-03-07T21:15:38-0700,2019-03-20T13:58:31-0700",750.0,0,524.0,Studio Apt for rent - Elevation on Central,"2019-03-07T21:15:38-0700,2019-03-07T21:15:38-0700,2019-03-20T13:58:31-0700",,Arizona,Phoenix
